order_id,product_name,order_date,order_type,payment_method,rating,price,region,preparation_time_minutes,quantity,line_total,employee_id
ORD00334,Rice Bowl,2026-02-27 08:33,Takeaway,Card,5,36.76,South,33,4,147.04,EMP026
ORD00284,Noodles,2026-03-03 14:35,Takeaway,Cash,3,14.31,East,32,3,42.93,EMP010
ORD00155,Cake,2026-05-07 13:49,Online,Card,5,19.95,North,24,1,19.95,EMP016
ORD00204,,2026-03-25 13:54,Online,E-Wallet,2,20.8,South,22,3,62.4,EMP004
ORD00187,Fries,2026-05-11 16:58,Online,E-Wallet,2,29.6,West,27,1,29.6,EMP025
ORD00093,Noodles,2026-02-07 17:16,Takeaway,Card,1,36.73,South,33,3,110.19,EMP013
ORD00149,Smoothie,2026-04-04 08:16,Dine-In,E-Wallet,4,26.72,Central,34,4,106.88,EMP019
ORD00042,Latte,2026-06-06 08:27,Dine-In,Cash,3,24.09,South,25,4,96.36,EMP011
ORD00241,Sandwich,2026-04-23 18:07,Takeaway,Card,4,11.25,South,31,3,33.75,EMP017
ORD00071,Sandwich,2026-05-15 10:19,Dine-In,Cash,4,5.22,East,41,2,10.44,EMP025
ORD00059,Salad,2026-02-25 20:55,Takeaway,E-Wallet,2,18.24,South,27,5,91.2,EMP016
ORD00141,Pasta,2026-03-13 17:29,Online,Card,1,37.36,North,12,5,186.8,EMP025
ORD00013,Salad,2026-05-02 12:35,Dine-In,E-Wallet,4,35.88,Central,25,3,107.64,EMP029
ORD00246,Sandwich,2026-04-17 15:30,Takeaway,Card,3,33.27,North,9,4,133.08,EMP011
ORD00268,Smoothie,2026-04-22 19:43,Dine-In,E-Wallet,4,25.34,Central,10,5,126.7,EMP013
ORD00323,Noodles,2026-01-22 08:17,Takeaway,Cash,2,21.77,North,10,3,65.31,EMP008
ORD00033,Pizza,2026-04-19 17:03,Takeaway,E-Wallet,3,38.42,East,3,5,192.1,EMP028
ORD00157,Sandwich,2026-01-07 11:19,Dine-In,Cash,1,3.26,East,44,3,9.78,EMP001
ORD00277,Salad,2026-06-09 10:22,Takeaway,Cash,5,3.02,West,45,1,3.02,EMP009
ORD00324,Smoothie,2026-02-12 17:12,Online,Card,2,39.76,East,42,5,198.8,EMP027
ORD00241,Burger,2026-04-28 08:19,Online,Card,5,16.6,North,3,4,66.4,EMP023
ORD00203,Latte,2026-05-11 09:24,Online,E-Wallet,1,22.02,North,43,1,22.02,EMP008
ORD00055,Fries,2026-01-18 09:12,Online,E-Wallet,5,22.47,East,11,3,67.41,EMP020
ORD00123,Latte,2026-05-29 15:49,Dine-In,Card,,13.36,North,22,4,53.44,EMP023
ORD00216,Smoothie,2026-06-07 21:24,Dine-In,Cash,4,12.89,East,23,3,38.67,EMP016
ORD00076,Salad,2026-06-12 19:03,Takeaway,E-Wallet,4,17.06,Central,19,2,34.12,EMP007
ORD00200,Latte,2026-01-03 19:54,Dine-In,Card,3,35.94,Central,39,5,179.7,EMP019
ORD00150,Coffee,2026-04-27 17:02,Online,Cash,1,20.4,North,4,5,102.0,EMP010
ORD00244,Tea,2026-04-30 09:08,Online,Card,1,30.6,West,24,4,122.4,EMP013
ORD00333,Noodles,2026-03-16 10:32,Dine-In,E-Wallet,4,13.26,Central,15,1,13.26,EMP025
ORD00282,Pasta,2026-06-28 14:17,Dine-In,E-Wallet,5,39.11,Central,34,3,117.33,EMP005
ORD00125,Noodles,2026-06-25 08:22,Takeaway,Cash,2,25.2,West,6,5,126.0,EMP026
ORD00275,Tea,2026-04-30 22:43,Dine-In,Cash,3,25.68,East,33,3,77.04,EMP007
ORD00324,Wrap,2026-06-18 16:48,Dine-In,Card,5,36.04,South,29,2,72.08,EMP024
ORD00265,Fries,2026-03-25 10:13,Takeaway,E-Wallet,5,8.28,South,7,3,24.84,EMP001
ORD00296,Latte,2026-02-06 22:12,Dine-In,E-Wallet,3,21.66,South,22,4,86.64,EMP015
ORD00286,Cake,2026-05-31 08:02,Online,Cash,3,4.24,East,9,5,21.2,EMP024
ORD00073,Burger,2026-03-31 22:32,Dine-In,Cash,5,12.04,North,8,4,48.16,EMP005
ORD00130,Smoothie,2026-01-09 14:33,Online,Cash,5,31.82,East,22,5,159.1,EMP027
ORD00094,Burger,2026-04-27 15:37,Dine-In,Cash,1,16.4,Central,27,3,49.2,EMP001
ORD00192,Smoothie,2026-04-07 17:08,Online,E-Wallet,3,21.03,Central,33,2,42.06,EMP003
ORD00055,Pasta,2026-02-07 18:45,Takeaway,Cash,5,16.21,Central,35,4,64.84,EMP029
ORD00340,Coffee,2026-01-21 22:32,Online,Cash,4,14.05,North,6,4,56.2,EMP014
ORD00183,Smoothie,2026-04-29 13:06,Takeaway,E-Wallet,4,36.78,West,10,4,147.12,EMP023
ORD00283,Pasta,2026-05-09 20:18,Dine-In,E-Wallet,1,28.0,West,25,3,84.0,EMP013
ORD00345,Pizza,2026-04-25 12:18,Online,E-Wallet,1,32.47,North,25,2,64.94,EMP021
ORD00340,Coffee,2026-02-14 11:42,Takeaway,Cash,4,12.64,Central,22,5,63.2,EMP007
ORD00017,Sandwich,2026-02-12 10:19,Takeaway,E-Wallet,3,32.71,West,40,3,98.13,EMP026
ORD00269,Pasta,2026-06-22 11:20,Takeaway,Cash,2,25.99,Central,33,3,77.97,EMP028
ORD00016,Pasta,2026-05-11 11:54,Takeaway,Cash,2,-3,Central,14,3,46.56,EMP014
ORD00178,Smoothie,2026-05-17 18:49,Dine-In,Cash,3,13.1,North,10,3,39.3,EMP028
ORD00085,Coffee,2026-02-07 20:26,Online,Cash,3,16.86,East,22,5,84.3,EMP027
ORD00161,Smoothie,2026-01-04 08:42,Takeaway,E-Wallet,5,6.7,East,5,4,26.8,EMP006
ORD00001,Salad,2026-01-13 10:40,Takeaway,Card,4,35.87,South,7,5,179.35,EMP015
ORD00231,Burger,2026-02-22 09:50,Pickup,Card,2,12.32,West,6,1,12.32,EMP029
ORD00210,Rice Bowl,2026-05-13 14:54,Online,E-Wallet,4,14.94,Central,7,1,14.94,EMP025
ORD00339,Sandwich,2026-05-01 08:38,Takeaway,Cash,2,15.75,South,45,5,78.75,EMP015
ORD00203,Smoothie,2026-03-08 17:40,Online,E-Wallet,3,27.05,North,6,2,54.1,EMP013
ORD00345,Fries,2026-06-12 15:58,Online,Cash,4,6.02,North,19,2,12.04,EMP001
ORD00129,Pasta,2026-03-30 22:53,Online,E-Wallet,5,8.03,North,19,4,32.12,EMP027
ORD00284,Noodles,2026-02-21 08:13,Dine-In,E-Wallet,5,26.23,North,30,1,26.23,EMP010
ORD00031,Smoothie,2026-03-12 09:06,Dine-In,Cash,1,7.18,North,11,3,21.54,EMP010
ORD00297,Tea,2026-05-13 13:20,Online,Cash,3,17.56,West,21,2,35.12,EMP009
ORD00248,Sandwich,2026-06-26 18:03,Takeaway,Cash,5,33.3,South,12,1,33.3,EMP014
ORD00155,Wrap,2026-01-29 16:45,Takeaway,Card,5,7.0,Central,43,4,28.0,EMP025
ORD00096,Cake,2026-05-01 18:37,Online,Cash,3,21.9,North,8,5,109.5,EMP001
ORD00276,Pizza,2026-03-06 11:42,Dine-In,Cash,4,35.49,East,26,2,70.98,EMP018
ORD00210,Latte,2026-06-25 21:28,Takeaway,Card,2,35.58,West,18,4,142.32,EMP016
ORD00094,Wrap,2026-05-01 20:08,Takeaway,Cash,3,38.83,Central,3,2,77.66,EMP015
ORD00337,Latte,2026-06-27 11:35,Online,Cash,1,18.87,East,18,4,75.48,EMP006
ORD00013,Burger,2026-01-20 13:56,Online,E-Wallet,4,9.25,West,26,4,37.0,EMP004
ORD00148,Burger,2026-04-03 19:39,Online,Cash,5,9.26,Central,5,1,9.26,EMP013
ORD00096,Fries,2026-03-15 18:03,Takeaway,Cash,4,11.43,West,16,1,11.43,EMP028
ORD00320,Latte,2026-05-23 22:28,Online,E-Wallet,4,25.22,West,28,3,75.66,EMP026
ORD00271,Tea,2026-01-07 22:33,Takeaway,E-Wallet,2,3.53,East,42,2,7.06,EMP003
ORD00300,Smoothie,2026-04-18 22:14,Dine-In,Card,5,25.03,North,37,5,125.15,EMP019
ORD00259,Cake,2026-01-25 21:03,Online,E-Wallet,4,38.53,East,21,3,115.59,EMP007
ORD00325,Noodles,2026-03-10 12:44,Takeaway,Cash,1,11.9,East,19,2,23.8,EMP018
ORD00165,Wrap,2026-04-30 22:23,Takeaway,Cash,4,22.63,West,42,1,22.63,EMP023
ORD00153,Pizza,2026-04-12 19:21,Dine-In,Cash,3,22.46,West,18,1,22.46,EMP024
ORD00085,Burger,2026-04-14 22:12,Online,Cash,3,18.61,Central,19,2,37.22,EMP016
ORD00247,Noodles,2026-02-27 16:31,Takeaway,Card,1,8.33,North,6,2,16.66,EMP019
ORD00332,Tea,2026-04-10 15:56,Online,Card,2,12.92,West,42,1,12.92,EMP015
ORD00173,Sandwich,2026-06-03 12:07,Dine-In,Cash,3,31.07,East,8,1,31.07,EMP002
ORD00287,Tea,2026-02-08 08:42,Takeaway,E-Wallet,4,18.2,South,42,1,18.2,EMP022
ORD00074,,2026-05-27 12:27,Dine-In,Card,1,25.02,East,6,4,100.08,EMP024
ORD00280,Tea,2026-01-08 15:40,Dine-In,Cash,5,21.44,West,5,5,107.2,EMP025
ORD00221,Tea,2026-06-19 18:20,Takeaway,Card,4,34.12,South,39,4,136.48,EMP028
ORD00262,Cake,2026-05-31 10:14,Takeaway,E-Wallet,4,25.42,East,39,5,127.1,EMP016
ORD00305,Latte,2026-03-06 18:44,Takeaway,E-Wallet,3,25.15,Central,21,2,50.3,EMP026
ORD00282,Noodles,2026-02-09 08:19,Dine-In,Cash,5,7.32,North,16,5,36.6,EMP015
ORD00018,Latte,2026-01-20 21:12,Takeaway,Cash,2,5.59,Central,23,3,16.77,EMP003
ORD00018,Salad,2026-03-15 19:21,Dine-In,E-Wallet,4,16.08,North,43,5,80.4,EMP009
ORD00015,Coffee,2026-02-14 18:19,Takeaway,Cash,1,12.79,East,23,3,38.37,EMP004
ORD00346,Coffee,2026-03-25 22:18,Dine-In,Card,3,20.55,Central,22,5,102.75,EMP004
ORD00225,Pasta,2026-03-30 10:04,Online,Cash,2,15.71,West,21,5,78.55,EMP002
ORD00239,Burger,2026-04-05 18:46,Takeaway,E-Wallet,5,25.6,South,44,1,25.6,EMP013
ORD00323,Pizza,2026-02-10 19:04,Pickup,Card,2,33.21,South,32,1,33.21,EMP014
ORD00230,Fries,2026-03-08 11:28,Takeaway,Cash,2,8.9,East,17,5,44.5,EMP018
ORD00264,Coffee,2026-02-18 12:03,Dine-In,Card,3,36.4,North,10,5,182.0,EMP002
ORD00280,Fries,2026-05-01 13:36,Dine-In,Card,3,18.86,West,6,1,18.86,EMP017
ORD00313,Burger,2026-01-03 16:56,Takeaway,Cash,5,15.74,Central,31,4,62.96,EMP024
ORD00193,Salad,2026-04-30 21:12,Takeaway,E-Wallet,4,29.5,North,24,4,118.0,EMP028
ORD00184,Wrap,2026-06-05 14:07,Online,Card,5,14.26,East,32,3,42.78,EMP019
ORD00299,Smoothie,2026-05-08 12:01,Dine-In,Card,5,25.39,South,43,4,101.56,EMP030
ORD00077,Burger,2026-01-26 11:19,Takeaway,Cash,1,28.22,South,6,3,84.66,EMP029
ORD00006,Rice Bowl,2026-04-18 11:27,Takeaway,Card,2,18.24,East,7,5,91.2,EMP022
ORD00259,Cake,2026-06-23 13:29,Dine-In,E-Wallet,1,39.45,East,45,3,118.35,EMP015
ORD00049,Fries,2026-06-07 18:41,Takeaway,E-Wallet,5,12.45,South,19,4,49.8,EMP013
